25; 25; 0.0;133;255;230
50; 25; 0.0;78;111;255
75; 25; 0.0;133;255;230
100; 25; 0.0;133;255;230
125; 25; 0.0;255;88;155
150; 25; 0.0;255;88;155
175; 25; 0.0;205;255;219
200; 25; 0.0;128;255;50
225; 25; 0.0;213;255;92
300; 25; 0.0;213;255;92
325; 25; 0.0;213;255;92
350; 25; 0.0;205;255;115
375; 25; 0.0;100;255;218
400; 25; 0.0;255;238;72
450; 25; 0.0;255;238;72
475; 25; 0.0;185;101;255
550; 25; 0.0;185;101;255
575; 25; 0.0;65;255;160
600; 25; 0.0;139;108;255
650; 25; 0.0;139;108;255
675; 25; 0.0;154;255;139
725; 25; 0.0;154;255;139
750; 25; 0.0;255;201;247
25; 50; 0.0;133;255;230
50; 50; 0.0;37;149;255
75; 50; 0.0;37;149;255
100; 50; 0.0;133;255;230
125; 50; 0.0;255;88;155
150; 50; 0.0;255;88;155
175; 50; 0.0;205;255;219
200; 50; 0.0;128;255;50
225; 50; 0.0;213;255;92
275; 50; 0.0;213;255;92
300; 50; 0.0;255;190;144
325; 50; 0.0;213;255;92
350; 50; 0.0;118;221;255
375; 50; 0.0;100;255;218
400; 50; 0.0;255;238;72
450; 50; 0.0;255;238;72
475; 50; 0.0;185;101;255
550; 50; 0.0;185;101;255
575; 50; 0.0;65;255;160
600; 50; 0.0;139;108;255
650; 50; 0.0;139;108;255
675; 50; 0.0;154;255;139
725; 50; 0.0;154;255;139
750; 50; 0.0;255;201;247
25; 75; 0.0;133;255;230
50; 75; 0.0;133;255;230
75; 75; 0.0;37;149;255
100; 75; 0.0;255;88;155
150; 75; 0.0;255;88;155
175; 75; 0.0;133;255;230
200; 75; 0.0;255;95;189
225; 75; 0.0;213;255;92
275; 75; 0.0;213;255;92
300; 75; 0.0;255;190;144
325; 75; 0.0;255;190;144
350; 75; 0.0;118;221;255
375; 75; 0.0;100;255;218
400; 75; 0.0;255;238;72
425; 75; 0.0;255;238;72
450; 75; 0.0;185;101;255
550; 75; 0.0;185;101;255
575; 75; 0.0;65;255;160
600; 75; 0.0;139;108;255
650; 75; 0.0;139;108;255
675; 75; 0.0;154;255;139
725; 75; 0.0;154;255;139
750; 75; 0.0;255;201;247
25; 100; 0.0;133;255;230
50; 100; 0.0;255;135;197
75; 100; 0.0;255;135;197
